SAG Best Actor List since 1994,,,,,
Year,Nominee,Film,Nomination,AWARD,Column1
1994,Tom Hanks,Forrest Gump,Best Actor,SAG,Winner
1994,John Travolta,Pulp Fiction,Best Actor,SAG,Nominee
1994,Morgan Freeman,The Shawshank Redemption,Best Actor,SAG,Nominee
1994,Paul Newman,Nobody's Fool,Best Actor,SAG,Nominee
1994,Tim Robbins,The Shawshank Redemption,Best Actor,SAG,Nominee
1995,Nicolas Cage,Leaving Las Vegas,Best Actor,SAG,Winner
1995,Anthony Hopkins,Nixon,Best Actor,SAG,Nominee
1995,James Earl Jones,"Cry, the Beloved Country",Best Actor,SAG,Nominee
1995,Massimo Troisi (posthumous),Il Postino: The Postman (Il postino),Best Actor,SAG,Nominee
1995,Sean Penn,Dead Man Walking,Best Actor,SAG,Nominee
1996,Geoffrey Rush,Shine,Best Actor,SAG,Winner
1996,Billy Bob Thornton,Sling Blade,Best Actor,SAG,Nominee
1996,Ralph Fiennes,The English Patient,Best Actor,SAG,Nominee
1996,Tom Cruise,Jerry Maguire,Best Actor,SAG,Nominee
1996,Woody Harrelson,The People vs. Larry Flynt,Best Actor,SAG,Nominee
1997,Jack Nicholson,As Good as It Gets,Best Actor,SAG,Winner
1997,Dustin Hoffman,Wag the Dog,Best Actor,SAG,Nominee
1997,Matt Damon,Good Will Hunting,Best Actor,SAG,Nominee
1997,Peter Fonda,Ulee's Gold,Best Actor,SAG,Nominee
1997,Robert Duvall,The Apostle,Best Actor,SAG,Nominee
1998,Roberto Benigni,Life Is Beautiful (La vita è bella),Best Actor,SAG,Winner
1998,Ian McKellen,Gods and Monsters,Best Actor,SAG,Nominee
1998,Joseph Fiennes,Shakespeare in Love,Best Actor,SAG,Nominee
1998,Nick Nolte,Affliction,Best Actor,SAG,Nominee
1998,Tom Hanks,Saving Private Ryan,Best Actor,SAG,Nominee
1999,Kevin Spacey,American Beauty,Best Actor,SAG,Winner
1999,Denzel Washington,The Hurricane,Best Actor,SAG,Nominee
1999,Jim Carrey,Man on the Moon,Best Actor,SAG,Nominee
1999,Philip Seymour Hoffman,Flawless,Best Actor,SAG,Nominee
1999,Russell Crowe,The Insider,Best Actor,SAG,Nominee
2000,Benicio del Toro,Traffic,Best Actor,SAG,Winner
2000,Geoffrey Rush,Quills,Best Actor,SAG,Nominee
2000,Jamie Bell,Billy Elliot,Best Actor,SAG,Nominee
2000,Russell Crowe,Gladiator,Best Actor,SAG,Nominee
2000,Tom Hanks,Cast Away,Best Actor,SAG,Nominee
2001,Russell Crowe,A Beautiful Mind,Best Actor,SAG,Winner
2001,Denzel Washington,Training Day,Best Actor,SAG,Nominee
2001,Kevin Kline,Life as a House,Best Actor,SAG,Nominee
2001,Sean Penn,I Am Sam,Best Actor,SAG,Nominee
2001,Tom Wilkinson,In the Bedroom,Best Actor,SAG,Nominee
2002,Daniel Day-Lewis,Gangs of New York,Best Actor,SAG,Winner
2002,Adrien Brody,The Pianist,Best Actor,SAG,Nominee
2002,Jack Nicholson,About Schmidt,Best Actor,SAG,Nominee
2002,Nicolas Cage,Adaptation.,Best Actor,SAG,Nominee
2002,Richard Gere,Chicago,Best Actor,SAG,Nominee
2003,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,Best Actor,SAG,Winner
2003,Ben Kingsley,House of Sand and Fog,Best Actor,SAG,Nominee
2003,Bill Murray,Lost in Translation,Best Actor,SAG,Nominee
2003,Peter Dinklage,The Station Agent,Best Actor,SAG,Nominee
2003,Sean Penn,Mystic River,Best Actor,SAG,Nominee
2004,Jamie Foxx,Ray,Best Actor,SAG,Winner
2004,Don Cheadle,Hotel Rwanda,Best Actor,SAG,Nominee
2004,Johnny Depp,Finding Neverland,Best Actor,SAG,Nominee
2004,Leonardo DiCaprio,The Aviator,Best Actor,SAG,Nominee
2004,Paul Giamatti,Sideways,Best Actor,SAG,Nominee
2005,Philip Seymour Hoffman,Capote,Best Actor,SAG,Winner
2005,David Strathairn,"Good Night, and Good Luck.",Best Actor,SAG,Nominee
2005,Heath Ledger,Brokeback Mountain,Best Actor,SAG,Nominee
2005,Joaquin Phoenix,Walk the Line,Best Actor,SAG,Nominee
2005,Russell Crowe,Cinderella Man,Best Actor,SAG,Nominee
2006,Forest Whitaker,The Last King of Scotland,Best Actor,SAG,Winner
2006,Leonardo DiCaprio,Blood Diamond,Best Actor,SAG,Nominee
2006,Peter O'Toole,Venus,Best Actor,SAG,Nominee
2006,Ryan Gosling,Half Nelson,Best Actor,SAG,Nominee
2006,Will Smith,The Pursuit of Happyness,Best Actor,SAG,Nominee
2007,Daniel Day-Lewis,There Will Be Blood,Best Actor,SAG,Winner
2007,Emile Hirsch,Into the Wild,Best Actor,SAG,Nominee
2007,George Clooney,Michael Clayton,Best Actor,SAG,Nominee
2007,Ryan Gosling,Lars and the Real Girl,Best Actor,SAG,Nominee
2007,Viggo Mortensen,Eastern Promises,Best Actor,SAG,Nominee
2008,Sean Penn,Milk,Best Actor,SAG,Winner
2008,Brad Pitt,The Curious Case of Benjamin Button,Best Actor,SAG,Nominee
2008,Frank Langella,Frost/Nixon,Best Actor,SAG,Nominee
2008,Mickey Rourke,The Wrestler,Best Actor,SAG,Nominee
2008,Richard Jenkins,The Visitor,Best Actor,SAG,Nominee
2009,Jeff Bridges,Crazy Heart,Best Actor,SAG,Winner
2009,Colin Firth,A Single Man,Best Actor,SAG,Nominee
2009,George Clooney,Up in the Air,Best Actor,SAG,Nominee
2009,Jeremy Renner,The Hurt Locker,Best Actor,SAG,Nominee
2009,Morgan Freeman,Invictus,Best Actor,SAG,Nominee
2010,Colin Firth,The King's Speech,Best Actor,SAG,Winner
2010,James Franco,127 Hours,Best Actor,SAG,Nominee
2010,Jeff Bridges,True Grit,Best Actor,SAG,Nominee
2010,Jesse Eisenberg,The Social Network,Best Actor,SAG,Nominee
2010,Robert Duvall,Get Low,Best Actor,SAG,Nominee
2011,Jean Dujardin,The Artist,Best Actor,SAG,Winner
2011,Brad Pitt,Moneyball,Best Actor,SAG,Nominee
2011,Demián Bichir,A Better Life,Best Actor,SAG,Nominee
2011,George Clooney,The Descendants,Best Actor,SAG,Nominee
2011,Leonardo DiCaprio,J. Edgar,Best Actor,SAG,Nominee
2012,Daniel Day-Lewis,Lincoln,Best Actor,SAG,Winner
2012,Bradley Cooper,Silver Linings Playbook,Best Actor,SAG,Nominee
2012,Denzel Washington,Flight,Best Actor,SAG,Nominee
2012,Hugh Jackman,Les Misérables,Best Actor,SAG,Nominee
2012,John Hawkes,The Sessions,Best Actor,SAG,Nominee
2013,Matthew McConaughey,Dallas Buyers Club,Best Actor,SAG,Winner
2013,Bruce Dern,Nebraska,Best Actor,SAG,Nominee
2013,Chiwetel Ejiofor,12 Years a Slave,Best Actor,SAG,Nominee
2013,Forest Whitaker,The Butler,Best Actor,SAG,Nominee
2013,Tom Hanks,Captain Phillips,Best Actor,SAG,Nominee
2014,Eddie Redmayne,The Theory of Everything,Best Actor,SAG,Winner
2014,Benedict Cumberbatch,The Imitation Game,Best Actor,SAG,Nominee
2014,Jake Gyllenhaal,Nightcrawler,Best Actor,SAG,Nominee
2014,Michael Keaton,Birdman,Best Actor,SAG,Nominee
2014,Steve Carell,Foxcatcher,Best Actor,SAG,Nominee
2015,Leonardo DiCaprio,The Revenant,Best Actor,SAG,Winner
2015,Bryan Cranston,Trumbo,Best Actor,SAG,Nominee
2015,Eddie Redmayne,The Danish Girl,Best Actor,SAG,Nominee
2015,Johnny Depp,Black Mass,Best Actor,SAG,Nominee
2015,Michael Fassbender,Steve Jobs,Best Actor,SAG,Nominee
2016,Denzel Washington,Fences,Best Actor,SAG,Winner
2016,Andrew Garfield,Hacksaw Ridge,Best Actor,SAG,Nominee
2016,Casey Affleck,Manchester by the Sea,Best Actor,SAG,Nominee
2016,Ryan Gosling,La La Land,Best Actor,SAG,Nominee
2016,Viggo Mortensen,Captain Fantastic,Best Actor,SAG,Nominee
2017,Gary Oldman,Darkest Hour,Best Actor,SAG,Winner
2017,Daniel Kaluuya,Get Out,Best Actor,SAG,Nominee
2017,Denzel Washington,"Roman J. Israel, Esq.",Best Actor,SAG,Nominee
2017,James Franco,The Disaster Artist,Best Actor,SAG,Nominee
2017,Timothée Chalamet,Call Me by Your Name,Best Actor,SAG,Nominee
2018,Rami Malek,Bohemian Rhapsody,Best Actor,SAG,Winner
2018,Bradley Cooper,A Star Is Born,Best Actor,SAG,Nominee
2018,Christian Bale,Vice,Best Actor,SAG,Nominee
2018,John David Washington,BlacKkKlansman,Best Actor,SAG,Nominee
2018,Viggo Mortensen,Green Book,Best Actor,SAG,Nominee
2019,Joaquin Phoenix,Joker,Best Actor,SAG,Winner
2019,Adam Driver,Marriage Story,Best Actor,SAG,Nominee
2019,Christian Bale,Ford v Ferrari,Best Actor,SAG,Nominee
2019,Leonardo DiCaprio,Once Upon a Time in Hollywood,Best Actor,SAG,Nominee
2019,Taron Egerton,Rocketman,Best Actor,SAG,Nominee
2020,Chadwick Boseman (posthumous),Ma Rainey's Black Bottom,Best Actor,SAG,Winner
2020,Anthony Hopkins,The Father,Best Actor,SAG,Nominee
2020,Gary Oldman,Mank,Best Actor,SAG,Nominee
2020,Riz Ahmed,Sound of Metal,Best Actor,SAG,Nominee
2020,Steven Yeun,Minari,Best Actor,SAG,Nominee
2021,Will Smith,King Richard,Best Actor,SAG,Winner
2021,Andrew Garfield,"Tick, Tick...Boom!",Best Actor,SAG,Nominee
2021,Benedict Cumberbatch,The Power of the Dog,Best Actor,SAG,Nominee
2021,Denzel Washington,The Tragedy of Macbeth,Best Actor,SAG,Nominee
2021,Javier Bardem,Being the Ricardos,Best Actor,SAG,Nominee
2022,Brendan Fraser,The Whale,Best Actor,SAG,Winner
2022,Adam Sandler,Hustle,Best Actor,SAG,Nominee
2022,Austin Butler,Elvis,Best Actor,SAG,Nominee
2022,Bill Nighy,Living,Best Actor,SAG,Nominee
2022,Colin Farrell,The Banshees of Inisherin,Best Actor,SAG,Nominee